frame,object_index,tlv1_range,tlv1_angle,tlv1_elevation,tlv1_doppler,tlv1_x_derived,tlv1_y_derived,tlv1_z_derived,tlv7_snr,tlv7_noise,tlv8_x,tlv8_y,tlv8_z,tlv8_doppler,tlv9_snr,tlv9_noise,tlv11_targetID,tlv10_targetID,tlv10_x,tlv10_y,tlv10_vx,tlv10_vy,tlv10_ax,tlv10_ay,tlv10_z,tlv10_vz,tlv10_az
1,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
2,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
3,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
4,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
5,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
6,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
7,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
8,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
9,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
10,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
11,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
12,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
13,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
14,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
15,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
16,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
17,0,,,,,,,,-1,-1,0.7857227921485901,1.0610445737838745,-0.20911400020122528,0.0,5,0,-1,-1,,,,,,,,,
19,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
20,0,,,,,,,,-1,-1,0.6897287964820862,1.0600191354751587,-0.06627804785966873,0.0,10,0,-1,-1,,,,,,,,,
22,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
23,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
24,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
25,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
26,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
27,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
28,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
29,0,,,,,,,,-1,-1,0.633198082447052,1.0947266817092896,0.06627804785966873,0.0,8,0,-1,-1,,,,,,,,,
31,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
32,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
33,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
34,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
35,0,,,,,,,,-1,-1,0.9949748516082764,0.894933819770813,-0.43481993675231934,0.0,5,0,-1,-1,,,,,,,,,
